Science;Φυσικές Επιστήμες
Natural resources;Φυσικοί πόροι
Natural resources ;Φυσικοί πόροι
Plants;Φυτά
Light;Φως
Luminescent;Φωτοβόλος
Photography and cinematography;Φωτογραφία και κινηματογράφος
Photosynthesis;φωτοσύνθεση
Wave characteristics - generally;Χαρακτηριστικά κύματος - γενικά
Maps & plans;Χάρτες & σχεδιαγράμματα
cartography;χαρτογραφία
Chemistry;Χημεία
Physical chemistry;Χημεία
Solid State Chemistry;Χημεία στερεών σωμάτων
Chemical changes;Χημικές αλλαγές
Chemical Reactions;Χημικές αντιδράσεις
Reactions with metals;Χημικές αντιδράσεις με μέταλλα
Chemical Thermodynamics;Χημική Θερμοδυναμική
Chemical Kinetics;Χημική Κινητική
Covalent bonds;Χημικοί δεσμοί
Land use;Χρήση της γης
Useful materials and products;Χρήσιμα υλικά και προιόντα
Everyday materials;Χρήσιμα υλικά και προϊόντα: Καθημερινά υλικά
Useful substances from rocks & minerals;Χρήσιμες ουσίες από πετρώματα και μέταλλα
Useful substances from rocks and minerals;Χρήσιμες ουσίες από πετρώματα και ορυκτά
Chromatography;Χρωματογραφία
Chromosomes;Χρωμοσώματα
Spatial interactions;Χωρικές αλληλεπιδράσεις
Spatial properties;Χωρικές ιδιότητες
Spatial information;Χωρικές πληροφορίες
Spatial heterogeneity;χωρική ετερογένεια
Spatial interpolation;Χωρική παρεμβολή
Spatial transformations;Χωρικοί μετασχηματισμοί
Fish ;ψάρια
Ova;Ωάρια
Oceania;Ωκεανία
Ocean ;ωκεανός
Horology;Ωρολογοποιία

